taxon_name,genome_size,plant_height,plant_tolerance_soil_salinity,resprouting_capacity_proportion_individuals,reproductive_maturity,seed_viability,fire_time_from_fire_to_peak_flowering,fire_time_from_fire_to_50_percent_flowering,seed_germination_time,fire_time_from_fire_to_fruiting,seedbank_longevity,ploidy,bud_bank_location,clonal_spread_mechanism,dispersal_appendage,dispersal_syndrome,dispersers,flower_colour,flowering_time,fruiting_time,leaf_phenology,life_form,life_history,nitrogen_fixing,plant_growth_form,plant_photosynthetic_organ,pollination_syndrome,pollination_system,post_fire_recruitment,resprouting_capacity,root_structure,seedbank_location,seedbank_longevity_class,serotiny,sex_type,vegetative_reproduction_ability,woodiness_detailed,leaf_type,parasitic,plant_physical_defence_structures,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_water_logged_soils,seed_dormancy_class,stem_growth_habit,woodiness,plant_growth_substrate,plant_type_by_resource_use,resprouting_capacity_non_fire_disturbance,storage_organ,plant_succulence,plant_flood_regime_classification,flowering_cues,competitive_stratum,post_fire_flowering,recruitment_time,plant_tolerance_calcicole
Cryptandra spinescens,,1,,,,,,,,,,,,,,,,,nnnnnyyyynnn (1),,,,perennial (2),,shrub (2),leaf (1),,,,,,,,,hermaphrodite (1),,woody (2),,,,,,,,physical_dormancy (1),prostrate (1),,,,,,,,,,,,
Cupaniopsis anacardioides,,12.75,,,,,,,,,,,basal_buds (1); basal_stem_buds (3); epicormic_buds (2),,aril (1); fleshy_reward (1),endozoochory (1); zoochory (1),birds (1); vertebrates (2),yellow_orange (1),nnnnnnyyynnn (1); nnnnnyynnnnn (1); nnnnnyyynnnn (1); nnnnyyyynnnn (1),nnnyynnnnnnn (1); ynnnnnnnyyyy (1),evergreen (4),,perennial (6),non_nitrogen_fixer (2),tree (13),leaf (2),,insect (1),post_fire_recruitment_absent (1),fire_killed (1); resprouts (6),arbuscular_mycorrhizal (1),soil_seedbank (1),persistent (1); transient (1),,hermaphrodite (2),,woody (4),broadleaf (1),,absent (1),,,,,,,,,,,,,,,,,,
Cyclospermum leptophyllum,,0.6,,,,,,,,,,,,,,,,white_cream (1),nnnnnnnnnynn (1); nnnnnnnnyynn (1); ynnnnnnnnyyy (1),yynnnnnnyyyy (1),,,annual (5),,herb (5),leaf (4),,,,fire_killed (2),,,,,,not_vegetative (1),herbaceous (5),broadleaf (1),,,,,,,,erect (2); spreading (1),,,,,,,,,,,,
Cycnogeton procerum,,0.05,,,,,,,,,,,,stem_tuber (1),,hydrochory (9); undefined (1),water (8),,yynnnnnnnyyy (1); yynnnnnnyyyy (6); yyynnnnnnnyy (1); yyyynnnyyyyy (1),yynnnnnnnnny (1),,hemicryptophyte (2),perennial (8),non_nitrogen_fixer (8),graminoid (1); herb (14),leaf (4),abiotic (7); wind (1),abiotic (1),,resprouts (9),non_mycorrhizal (1),,persistent (7),,hermaphrodite (2); monoecious (1),vegetative (10),herbaceous (5),,not_parasitic (7),absent (7),1-6_months (1); aquatic (6); greater_than_6_months (1); less_than_1_month (1),glycophyte (7),days (5); not_applicable (2),aquatic (6),,floating (1); rhizomatous (3),herbaceous (1),aquatic (5),,resprouts_non_fire_disturbance (7),rhizome (2); rhizome_woody (2); root_tuber (2); stem_tuber (2),,amphibious (1),,,,,
Cymbopogon refractus,,0.84,,1,,,,,,,,,basal_buds (1); bud-bearing_root (1); root_crown (1),,none (1),anemochory (2); epizoochory (3); myrmecochory (1); zoochory (1),ants (1); mammals (1); wind (2),,yynnnnnnyyyy (1); yyyyynnnyyyy (2); yyyyyyyyyyyy (2),,evergreen (1),hemicryptophyte (1),perennial (6); short_lived_perennial (1),non_nitrogen_fixer (2),graminoid (5); herb (3); tussock (3),leaf (2),abiotic (1); wind (2),,post_fire_recruitment_absent (2),partial_resprouting (15); resprouts (8),non_mycorrhizal (1),soil_seedbank (1),persistent (1); transient (1),,andromonoecious (1); hermaphrodite (1),not_vegetative (2),herbaceous (3),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),days (1),not_applicable (1),,caespitose (1); tufted (2),,,,,,,,,,,,
Cynodon dactylon,,0.22,,,,,,,,,,,basal_stem_buds (2); bud-bearing_root (2); rhizome (5); stolon (1),rhizome (1); stolon (2),,anemochory (3); barochory (4); zoochory (2),abiotic (1); animals (1); invertebrates (1),blue_purple (2); green (2),ynnnyyyyyyyy (1); yynnnnnnnnny (1); yyyyyyyyyyyy (1),,,geophyte (1); hemicryptophyte (1),perennial (13),non_nitrogen_fixer (3),graminoid (12); graminoid_not_tussock (1); herb (7),leaf (6),abiotic (1); self (1); wind (1),abiotic (1),,fire_killed (1); resprouts (7),arbuscular_mycorrhizal (4),soil_seedbank (1),transient (1),,hermaphrodite (1),vegetative (3),herbaceous (9),,not_parasitic (2),absent (2),1-6_months (1); less_than_1_month (1),halophyte_moderate (1),days (1),1-6_months (1); less_than_1_month (1),,decumbent (1); erect (1); mat-forming (2); prostrate (3); rhizomatous (6); sprawling (1); spreading (1); stoloniferous (6),,,weedy (1),resprouts_non_fire_disturbance (1),rhizome (6),,terrestrial_dry (1),,,,,
Cyperus gracilis,,1,,,,,,,,,,,,rhizome (1),none (1),barochory (1); hydrochory (1),water (1),green (1); red_brown (1); yellow_orange (1),yynnnnnnyyyy (2),,,hemicryptophyte (1),perennial (4),non_nitrogen_fixer (1),graminoid (3); herb (4); tussock (2),,abiotic (1); wind (1),,,fire_killed (1); resprouts (1),,,persistent (1),,hermaphrodite (2),not_vegetative (2),herbaceous (3),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),,tufted (1),,,,,,,,,,,,
Cyperus polystachyos,,0.49,,,,,,,,,,,,,,hydrochory (3),water (3),red_brown (1); white_cream (1); yellow_orange (1),yynnnnnnyyyy (4),,,,annual (5); perennial (7),non_nitrogen_fixer (3),graminoid (6); herb (5); tussock (3),,abiotic (3),,,fire_killed (4); resprouts (1),,soil_seedbank (1),persistent (4),,hermaphrodite (4),not_vegetative (6),herbaceous (6),,not_parasitic (3),absent (3),1-6_months (3); less_than_1_month (3),salinity_tolerance_undefined (3),not_applicable (3),1-6_months (3); greater_than_6_months (3); less_than_1_month (3),,rhizomatous (3); tufted (1),,,,,rhizome (3),,,,,,,
Dactyloctenium australe,,0.65,,,,,,,,,,,,aboveground_clonal (1),none (1),epizoochory (1),,,yynnnnnnnnny (1),,,hemicryptophyte (1),perennial (4),,graminoid (3); herb (3); tussock (2),leaf (2),wind (1),,,,non_mycorrhizal (1),,,,hermaphrodite (2),vegetative (1),herbaceous (4),,,,,,,,,erect (1); stoloniferous (2),,,,,,,,,,,,
Daucus carota,,0.99,,,,,,,,,,,,,,epizoochory (1),,pink (1); white_cream (1),yyyyynnnyyyy (1),,,hemicryptophyte (1),biennial (5),,herb (4),leaf (3),,,,,,,,,hermaphrodite (1),not_vegetative (1),herbaceous (4),broadleaf (1),,,,,,,,erect (3),,,,,,,,,,,,
Daviesia ulicifolia,,1.68,,,,,,,,,,,basal_buds (1); basal_stem_buds (1); bud-bearing_root (1),non_clonal (1),aril (2); none (1),barochory (1); myrmecochory (4); zoochory (1),ants (3); invertebrates (1); passive (1),yellow_orange (1),nnnnnnnnnnny (1); nnnnnnnnynnn (1); nnnnnnnynnnn (1); nnnnnnnyyyyn (1); nnnnnnnyyyyy (2); nnnnyyyyynnn (1); nnnynnnnnnnn (1); ynnnnnnyyyyy (1),ynnnnnnnyyyy (1),,phanerophyte (1),perennial (7),nitrogen_fixer (2),shrub (11); subshrub (1),phyllode (4),insect (2),biotic_unspecialised (1),post_fire_recruitment (2); post_fire_recruitment_absent (1),fire_killed (3); resprouts (4),,soil_seedbank (1),long_persistent (1); persistent (2),,hermaphrodite (2); monoecious (1),not_vegetative (1),woody (5),,not_parasitic (1),sharp_pointed_defence (1),not_applicable (1),glycophyte (1),days (1); months (1); weeks (1),not_applicable (1),physical_dormancy (2),erect (1); prostrate (1),woody (2),,,,,,,,,,,
Denhamia silvestris,,6.75,,,,,,,,,,,basal_buds (1); basal_stem_buds (2),,aril (1); elaiosome (1),endozoochory (1); myrmecochory (3),ants (1); birds (1),,nnnnnnnnnnyn (1); nnnnnnnnnyyn (1); nnnnnnnnnyyy (3); nnnnnnnynnnn (1); ynnnnnnnnyyy (2),nyyyynnnnnnn (1),evergreen (2),,perennial (2),non_nitrogen_fixer (1),shrub (6); tree (2),leaf (1),insect (1),,post_fire_recruitment_absent (1),resprouts (5),,,transient (1),not_serotinous (1),hermaphrodite (1),not_vegetative (1),woody (2),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),non_dormant (1),prostrate (1),,,,resprouts_non_fire_disturbance (1),,,,,,,,
Desmodium rhytidophyllum,,0.12,,,,,,,,,,,basal_buds (1); basal_stem_buds (3),,,endozoochory (2); epizoochory (3),mammals (1),blue_purple (1); pink (1),nnnnnnnnnnnn (1); yynnnnnnnnny (1); yyyyyyyyyyyy (2),,,,perennial (2),nitrogen_fixer (1),climber (2); herb (5),leaf (1),insect (1),,post_fire_recruitment (1),fire_killed (1); resprouts (3),,soil_seedbank (1),persistent (2),not_serotinous (1),hermaphrodite (1),not_vegetative (1),herbaceous (2),,not_parasitic (1),absent (1),not_applicable (1),glycophyte (1),days (1),not_applicable (1),physical_dormancy (1),climbing (1); prostrate (3),,,,,,,,,,,,
Desmodium varians,,0.1,,,,,,,,,,,basal_buds (2); basal_stem_buds (1),non_clonal (1),,barochory (1); epizoochory (3); myrmecochory (1); zoochory (1),ants (1); mammals (1),pink (1); white_cream (1),nnnnnnnnnnnn (1); nnnynnnnnnnn (1); yynnnnnnnnny (1); yyyyynnnyyyy (1); yyyyyyyyyyyy (1),yyyyynnnnnny (1),,geophyte (1); hemicryptophyte (1),perennial (3),nitrogen_fixer (3),climber (1); herb (5); subshrub (1); tree (1),leaf (1),insect (1),biotic_unspecialised (1),post_fire_recruitment (2); post_fire_recruitment_absent (1),resprouts (4),,soil_seedbank (1),long_persistent (1); persistent (2),not_serotinous (1),hermaphrodite (1),not_vegetative (2),herbaceous (2),,not_parasitic (1),absent (1),not_applicable (1),glycophyte (1),days (1),not_applicable (1),physical_dormancy (1),climbing (1); decumbent (1); prostrate (3),,,,,,,,,,,,
Dianella caerulea,,2,,,,,,,82,,,,basal_buds (1),,,endozoochory (3); zoochory (1),birds (2); vertebrates (2),blue_purple (1); green (1); red_brown (1); white_cream (1); yellow_orange (1),nnnnnnnnynnn (1); nnnnnnnnyyyn (1); yynnnnnnnyyy (1); yynnnnnnyyyy (2); yynnnyyyyyyy (1); yyyyyynnnnnn (1),yyyyyynnnnnn (1),evergreen (1),geophyte (1),perennial (4),non_nitrogen_fixer (1),geophyte (2); graminoid (1); graminoid_not_tussock (1); herb (10),leaf (3),insect (1),,,partial_resprouting (1); resprouts (5),arbuscular_mycorrhizal (2),,persistent (1); transient (1),,hermaphrodite (1),not_vegetative (1); vegetative (1),herbaceous (4),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1),less_than_1_month (1),physiological_dormancy (1),mat-forming (2); rhizomatous (1),herbaceous (1),,,resprouts_non_fire_disturbance (1),rhizome (3),,,,,,,
Dianella longifolia,,1.15,,,,,,,,,,,,,none (1),endozoochory (4); epizoochory (1); myrmecochory (1); zoochory (1),ants (1); birds (2); vertebrates (1),blue_purple (1); green (1); white_cream (1); yellow_orange (1),ynnnnnnnyyyy (2); yynnnnnnyyyy (2); yyynnnnnnnnn (1),,evergreen (1),hemicryptophyte (1),perennial (7),non_nitrogen_fixer (2),herb (7); tussock (2),leaf (3),insect (3),,,resprouts (3),,soil_seedbank (2),persistent (3),,hermaphrodite (2); monoecious (1),not_vegetative (4),herbaceous (5),,not_parasitic (2),absent (2),less_than_1_month (2),halophyte_moderate (1); salinity_tolerance_undefined (1),days (1); not_applicable (1); weeks (1),1-6_months (1); less_than_1_month (2),,rhizomatous (2); tufted (1),herbaceous (1),,,resprouts_non_fire_disturbance (2),rhizome (2); root_tuber (2),,,,,,,
Dianella revoluta,,0.83,,,,,,,79,,,,basal_buds (1); bud-bearing_root (1); rhizome_non_woody (1); stem_tuber (1),rhizome (3),none (1),endozoochory (7); epizoochory (1); myrmecochory (1); zoochory (1),ants (1); birds (1); vertebrates (1),blue_purple (1); red_brown (1); yellow_orange (1),nnnnnnnnyynn (1); nnnnnnnyyyyn (1); ynnnnnnnnyyy (1); yynnnnnnyyyy (3); yyyynnnyyyyy (1),,evergreen (1),chamaephyte (2); geophyte (2); hemicryptophyte (2),perennial (13),non_nitrogen_fixer (4),graminoid (1); graminoid_not_tussock (1); herb (9); tussock (1),leaf (3),insect (2),biotic_unspecialised (1),post_fire_recruitment_absent (3),resprouts (10),arbuscular_mycorrhizal (3),canopy_seedbank_absent (1); soil_seedbank (1); soil_seedbank_absent (1),persistent (1),not_serotinous (1),hermaphrodite (2); monoecious (1),vegetative (5),herbaceous (5),,not_parasitic (1),absent (1),not_applicable (1),halophyte_moderate (1),days (1); weeks (1),not_applicable (1),,mat-forming (2); rhizomatous (2),herbaceous (1),,,resprouts_non_fire_disturbance (1),rhizome (4); storage_organ (1),,,,ground (1),,,
Dichanthium sericeum,,0.81,,0.93,,,,,,,,,bud-bearing_root (1); root_crown (1),,none (1),anemochory (5); epizoochory (1),mammals (1); wind (2),blue_purple (2); green (1); red_brown (1); white_cream (1),yynnnnnnnnny (2); yyyynnnnnnyy (1),,,hemicryptophyte (1); therophyte (1),annual (3); biennial (1); perennial (7),non_nitrogen_fixer (1),graminoid (9); herb (4); tussock (3),leaf (4),abiotic (1); self (1); wind (2),,,partial_resprouting (16); resprouts (4),non_mycorrhizal (1),,persistent (1),,andromonoecious (2),not_vegetative (2),herbaceous (6),,not_parasitic (1),absent (1),not_applicable (1),halophyte_moderate (1),days (1),not_applicable (1),,erect (2); tufted (1),,,,,no_storage_organ (1),,,,,,,
Dichelachne crinita,,1.01,,,,,,,,,,,basal_buds (1); bud-bearing_root (1); root_crown (1),rhizome (2),bristles (1),anemochory (2); epizoochory (5),mammals (1); wind (2),green (1),nnnnnnnnyyyn (2); yynnnnnnnnyy (1); yyynnnnnnyyy (1),,,hemicryptophyte (4); therophyte (1),perennial (13); short_lived_perennial (1),non_nitrogen_fixer (4),graminoid (6); herb (6); tussock (3),leaf (4),abiotic (1); self (1); wind (1),abiotic (1),post_fire_recruitment_absent (1),partial_resprouting (1); resprouts (6),non_mycorrhizal (2),soil_seedbank_absent (1),persistent (1),,hermaphrodite (2); monoecious (1),not_vegetative (3); vegetative (1),herbaceous (6),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),days (1),less_than_1_month (1),,,herbaceous (1),,,,,,,,,,,
Dichelachne micrantha,,0.9,,,,,,,,,,,basal_buds (1); root_crown (1),,bristles (1); none (1),anemochory (2); epizoochory (5); myrmecochory (1); zoochory (2),ants (1); mammals (2); wind (2),,nnnnnnnnnyyy (1); yynnnnnnnnny (1); yynnnnnnnyyy (2); yynnnnnnyyyy (2),,,hemicryptophyte (2),perennial (11); short_lived_perennial (1),non_nitrogen_fixer (2),graminoid (9); herb (7); tussock (5),leaf (5),abiotic (2); self (1); wind (2),,post_fire_recruitment (1),resprouts (4),non_mycorrhizal (1),,persistent (2),,hermaphrodite (3); monoecious (1),not_vegetative (4),herbaceous (7),,not_parasitic (2),absent (2),less_than_1_month (2),salinity_tolerance_undefined (2),days (2),1-6_months (2); less_than_1_month (2),,,herbaceous (1),,,,,,,,,,,
Dichelachne parva,,0.64,,,,,,,,,,,,,,epizoochory (1),mammals (1),,yynnnnnnnnny (2),,,,perennial (3),non_nitrogen_fixer (1),graminoid (2); herb (2); tussock (2),leaf (2),abiotic (1),,,,,,persistent (1),,hermaphrodite (1),not_vegetative (1),herbaceous (3),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),days (1); weeks (1),1-6_months (1); less_than_1_month (1),,,,,,,,,,,,,,
Dichondra repens,,0.06,,,,,,,,,,,basal_buds (1),stolon (2),,barochory (5); undefined (2); zoochory (1),invertebrates (1); passive (1),green (2); white_cream (1); yellow_orange (2),nnnnnnnnynnn (2); nnnnnnnnyynn (1); nnnnnnnnyyyy (2); yynnnnnnyyyy (2); yyyynnnnyyyy (1),yyyynnnnyyyy (1),evergreen (1),geophyte (1); hemicryptophyte (4),perennial (13),non_nitrogen_fixer (3),herb (17),leaf (3),insect (2),,post_fire_recruitment (1); post_fire_recruitment_absent (1),partial_resprouting (1); resprouts (4),arbuscular_mycorrhizal (2),soil_seedbank (1),persistent (1); transient (1),,hermaphrodite (2); monoecious (1),vegetative (6),herbaceous (5),,not_parasitic (1),absent (1),1-6_months (1); less_than_1_month (1),halophyte_moderate (1),days (1); months (1); weeks (1),1-6_months (1); less_than_1_month (1),,creeping (4); prostrate (1); rosette (1); stoloniferous (1),herbaceous (1),,,resprouts_non_fire_disturbance (1),,,terrestrial_dry (1),,,,,
Dietes grandiflora,,1.2,,,,,,,,,,,,,,,,,nnnnnnnnnyyy (1); nnnnnnnnynnn (1),,,,perennial (2),,herb (2),,,,,,,,,,hermaphrodite (1),,herbaceous (2),,,,,,,,,erect (1); rhizomatous (1),,,,,rhizome (1),,,,,,,
Digitaria ciliaris,,0.73,,,,,,,,,,,,,none (1),anemochory (1),,blue_purple (1),yyyyynnnnnny (1),,,therophyte (1),annual (6),,graminoid (4); herb (3); tussock (2),leaf (2),wind (1),,,fire_killed (2),arbuscular_mycorrhizal (2),,,,hermaphrodite (2),not_vegetative (2),herbaceous (5),,,,,,,,,caespitose (1); decumbent (1),,,,,,,,,,,,
Dillwynia retorta,,2.67,,,,,60,,,,,,none (1),,elaiosome (1),barochory (1); myrmecochory (4); zoochory (4),ants (2); invertebrates (3); passive (1),yellow_orange (1),nnnnnnnnyyyy (1); nnnnnnyyynnn (2); nnnnnnyyyyyy (1),,,,perennial (2),nitrogen_fixer (4),shrub (10),leaf (1),insect (4),,post_fire_recruitment (3),fire_killed (9),arbuscular_mycorrhizal (1); ectomycorrhizal (1),soil_seedbank (1),persistent (4),not_serotinous (1),hermaphrodite (1),not_vegetative (3),woody (2),,not_parasitic (3),absent (3),not_applicable (3),glycophyte (1); salinity_tolerance_undefined (2),days (3),not_applicable (3),physical_dormancy (2),erect (1),,,,,,,,,,,,
Dillwynia sieberi,,1.67,,,,,,,,,,,basal_buds (1); basal_stem_buds (1); none (1),,,myrmecochory (3); zoochory (1),ants (3); invertebrates (1),yellow_orange (1),nnnnnnnnyyyn (1),,,,perennial (3),nitrogen_fixer (1),shrub (9),leaf (2),insect (1),,post_fire_recruitment (1),fire_killed (2); partial_resprouting (1),,soil_seedbank (4),persistent (3),,hermaphrodite (1),not_vegetative (1),woody (3),,not_parasitic (1),sharp_pointed_defence (1),not_applicable (1),glycophyte (1),days (1),not_applicable (1),physical_dormancy (1),erect (2); spreading (1),woody (1),,,,,,,,,,,
Diuris sulphurea,,0.42,,,,,,,,,,,stem_tuber (1),stem_tuber (1),,anemochory (3),wind (2),yellow_orange (1),nnnnnnnnyyyy (2); ynnnnnnnnyyy (1),,,geophyte (3),perennial (4),non_nitrogen_fixer (2),herb (8),leaf (4),insect (2),biotic_unspecialised (1),post_fire_recruitment_absent (1),resprouts (3),orchid_mycorrhizal (1),soil_seedbank (1),persistent (1); transient (1),,hermaphrodite (1),vegetative (1),herbaceous (5),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),days (1),not_applicable (1),,,,terrestrial (3),,resprouts_non_fire_disturbance (1),stem_tuber (3),,,,,fire_enhanced_flowering (1),,
Dodonaea triquetra,,3.2,,,3,,,,,36,,,basal_buds (1); basal_stem_buds (4),,inflated_parts (1); wings (1),anemochory (1); myrmecochory (2),ants (1); birds (1); wind (1),green (1),nnnnnnnnnyyy (1); nnnnnnyyyynn (1); ynnnnnnnnnnn (1); yyynnnnnnnnn (1),nnnnnnnnnynn (1),evergreen (3),,perennial (4),non_nitrogen_fixer (1),shrub (11),leaf (3),abiotic (1),,post_fire_recruitment (3); post_fire_recruitment_absent (1),fire_killed (4); partial_resprouting (1); resprouts (1),arbuscular_mycorrhizal (1),soil_seedbank (1),persistent (2),not_serotinous (1),dioecious (2); polygamodioecious (1); trioecious (1),not_vegetative (2),woody (4),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),physical_dormancy (1),erect (3),woody (1),,,,,,,,,,,
Drosera peltata,,0.35,,,,,,,,,,,basal_buds (1); stem_tuber (1),root_tuber (1); stem_tuber (2),none (1),anemochory (5); barochory (5); zoochory (2),invertebrates (2); passive (1); wind (1),,nnnnnnnnnyyy (1); nnnnnnnnyyyy (1); ynnnnnnyyyyy (2); yynnnnnnnnyy (1); yynnnnnnyyyy (2),nnnnnnnnnyyy (1); yynnnnnnnnyy (1),evergreen (2),geophyte (10),perennial (10),non_nitrogen_fixer (6),herb (16),leaf (4),insect (3); self (1),biotic_unspecialised (2),post_fire_recruitment (2); post_fire_recruitment_absent (2),fire_killed (1); resprouts (8),carnivorous (3),soil_seedbank_absent (1),persistent (2); transient (2),not_serotinous (1),hermaphrodite (2); monoecious (1),not_vegetative (4); vegetative (2),herbaceous (6),,not_parasitic (2),absent (2),less_than_1_month (2),glycophyte (2),days (2),less_than_1_month (2),,erect (2); rosette (4),herbaceous (1),terrestrial (1),,resprouts_non_fire_disturbance (2),stem_tuber (4),,,,,,,
Echinopogon caespitosus,,1.05,,,,,,,,,,,root_crown (1),,,barochory (1); epizoochory (2); zoochory (1),mammals (1),,nnnnnnnnnyyy (1); ynnnnnnnnnyy (1); yynnnnnnyyyy (1),,,,perennial (4),non_nitrogen_fixer (1),graminoid (4); herb (2); tussock (2),leaf (2),abiotic (1); self (1); wind (1),,,resprouts (2),,,persistent (1),,hermaphrodite (1),not_vegetative (2),herbaceous (3),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),,caespitose (1),,,,,rhizome (1),,,,,,,
Echinopogon ovatus,,0.71,,1,,,,,,,,,bud-bearing_root (2); rhizome (1),rhizome (2),bristles (1); none (1),anemochory (1); epizoochory (7); myrmecochory (1); zoochory (1),ants (1); mammals (2); wind (1),green (1),nnnnnnnnyyyn (2); ynnnnnnnnyyy (2); ynnnnnnyyyyy (1),,,hemicryptophyte (3),annual (7); perennial (6); short_lived_perennial (1),non_nitrogen_fixer (4),graminoid (10); graminoid_not_tussock (2); herb (9); tussock (1),leaf (4),abiotic (2); self (1); wind (2),abiotic (1),,fire_killed (1); partial_resprouting (16); resprouts (7),non_mycorrhizal (3),soil_seedbank (1),persistent (3),,hermaphrodite (3); monoecious (1),not_vegetative (2); vegetative (3),herbaceous (8),,not_parasitic (2),absent (2),less_than_1_month (2),salinity_tolerance_undefined (2),days (2); weeks (2),less_than_1_month (2),,caespitose (3); erect (2); rhizomatous (4),herbaceous (1),,,resprouts_non_fire_disturbance (2),rhizome (3),,,,,,,
Eclipta prostrata,,0.72,,,,,,,,,,,,non_clonal (1),wing_or_plume (1),barochory (1),,white_cream (3),nyyyyyyyyynn (1); yyyyynnnyyyy (1),nyyyyyyyyynn (1),,therophyte (1),annual (7); biennial (1); perennial (4),non_nitrogen_fixer (1),herb (10),leaf (5),bee (1),,,fire_killed (1),mycorrhizal (1),soil_seedbank (1),long_persistent (1),,gynomonoecious (1),,herbaceous (7),,,absent (1),,,,,,decumbent (5); erect (5); prostrate (2),,semiaquatic (1),,,,,,,,,,
Ehrharta erecta,,0.64,,,,,,,,,,,root_crown (1),,,,,,yynnnnnnyyyy (1),yyyyyyyyyyyy (1),,,annual (2); perennial (7),,graminoid (6); herb (6),leaf (3),,,post_fire_recruitment (1),resprouts (4),,,,,,not_vegetative (1),herbaceous (6),,,,,,,,,caespitose (2); erect (1); rhizomatous (1); sprawling (1),,,,,rhizome (2),,,,,,,
Ehrharta longiflora,,0.78,,,1,,,,,,,,,,,,,,nnnnyyyyyynn (1); yynnnnnnyyyy (1),,,,annual (9),,graminoid (7); herb (6),leaf (5),,,post_fire_recruitment (1),fire_killed (3),arbuscular_mycorrhizal (1),none (1); soil_seedbank (1),,,,,herbaceous (8),,not_parasitic (1),absent (1),,,,,,caespitose (3); decumbent (3); erect (4),,,,,,,,,,,,
Einadia hastata,,1,,,,,,,,,,,none (1),non_clonal (1),,endozoochory (4),birds (2); vertebrates (1),,nnyyyyynnnnn (1); yyynnnnnnnyy (2),nnnynnynnnnn (1); nnyynnnnnnnn (1); yyyyyyynnnyy (1),,chamaephyte (1),perennial (4); short_lived_perennial (1),non_nitrogen_fixer (2),herb (9); shrub (2); subshrub (1),leaf (3),abiotic (2); wind (1),abiotic (1),post_fire_recruitment (1); post_fire_recruitment_absent (2),fire_killed (3),,,transient (3),,hermaphrodite (1),not_vegetative (3),herbaceous (3); woody_base (1),,not_parasitic (2),absent (3),not_applicable (2),halophyte_moderate (2),days (2),not_applicable (2),,decumbent (1); prostrate (1); spreading (1),,,,,,,,,,,,
Einadia nutans,,0.46,,,,0.94,,,,,,,none (1),,aril (1); none (1),endozoochory (3); zoochory (2),birds (2); vertebrates (1),yellow_orange (1),ynnnnnnnyyyy (2); yyyyyyyyyyyy (1),yyyyyyyyyyyy (1),,,perennial (11); short_lived_perennial (1),non_nitrogen_fixer (3),herb (11); shrub (3); subshrub (6),leaf (5),abiotic (2); wind (1),,post_fire_recruitment (2),fire_killed (5),,,persistent (1); transient (3),,hermaphrodite (2); monoecious (1),not_vegetative (2),herbaceous (6); semi_woody (1); woody (1); woody_base (2),,not_parasitic (2),absent (2),not_applicable (2),halophyte_moderate (2),days (2),not_applicable (2),,climbing (1); prostrate (2); sprawling (2); spreading (1),herbaceous (1),,,,no_storage_organ (1),,,,,,,
Eleusine indica,,0.86,,,,,,,,,,,,,none (1),hydrochory (1),,,yynnnnnnnnny (1),,,hemicryptophyte (1); therophyte (1),annual (6); perennial (6),,graminoid (5); herb (5); tussock (2),leaf (4),wind (1),,,,arbuscular_mycorrhizal (2),,,,hermaphrodite (1),not_vegetative (1),herbaceous (6),,,,,,,,,decumbent (1); erect (1); prostrate (1); stoloniferous (1),,,,,,,,rain (1),,,,
Eleusine tristachya,,0.33,,,,,,,,,,,,,,,,blue_purple (1),yynnnnnnnnny (1),,,,annual (2); perennial (4); short_lived_perennial (1),,graminoid (5); herb (4),leaf (4),,,,,,,,,,,herbaceous (5),,,,,,,,,erect (1); prostrate (1); rhizomatous (1); spreading (1),,,,,rhizome (1),,,,,,,
Entolasia marginata,,0.6,,,,,,,,,,,rhizome (1),belowground_clonal (1),none (1),anemochory (1); epizoochory (1),mammals (1),white_cream (1),nnnnnnnnnnnn (1); yynnnnnnyyyy (1); yyyyynnnnyyy (1); yyyyyyyyyyyy (2),,,hemicryptophyte (1),perennial (4),non_nitrogen_fixer (1),graminoid (4); graminoid_not_tussock (1); herb (3); tussock (1),leaf (2),abiotic (1); wind (1),,post_fire_recruitment (1),resprouts (4),non_mycorrhizal (1),soil_seedbank (1),persistent (2),,hermaphrodite (2),vegetative (2),herbaceous (3),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),days (1),1-6_months (1); less_than_1_month (1),,rhizomatous (2),,,,resprouts_non_fire_disturbance (1),rhizome (2),,,,,,,
